Baselayer,12 miles,9 miles,6 miles,3 miles,Transportation,Weather,Use_count,Last used
Shorts/Tank Top,1,1,0,0,Biking,5,,
Shorts/T-Shirt,1,1,1,0,Driving,4,,
Shorts/Long Sleeve,1,1,1,0,Taking the Train,4,,
Shorts/Tank Top/jacket,0,0,1,1,Taking the Train,4,,
Shorts/T-Shirt/Jacket,0,0,1,1,Driving,1,,
Shorts/Long Sleeve/Jacket,0,0,1,1,Taking the Train,4,,
Capris/Tank Top,1,1,0,0,Running,5,,
Capris/T-Shirt,1,1,1,0,Biking,5,,
Capris/Long Sleeve,0,1,1,1,Running,1,,
Capris/Tank Top/Jacket,1,1,0,0,Running,2,,
Capris/T-Shirt/Jacket,1,1,1,0,Running,2,,
Capris/Long Sleeve/Jacket,0,1,1,1,Running,3,,
Pants/Tank Top,0,1,1,0,Biking,3,,
Pants/T-Shirt,1,1,1,1,Driving,3,,
Pants/Long Sleeve,0,1,1,1,Taking the Train,2,,
Pants/Tank Top/Jacket,0,1,1,1,Taking the Train,2,,
Pants/T-Shirt/Jacket,0,1,1,1,Driving,1,,
Pants/Long Sleeve/Jacket,0,0,1,1,Biking,1,,
